Timestamp,Source,Destination,TunnelType,PacketSize,PacketType,Name,FreshnessPeriod,MustBeFresh,Nonce,InterestLifetime
1472064886.575085,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499987,,1,1652931285,4000
1472064886.575111,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499988,,1,2535626329,4000
1472064886.575113,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499989,,1,1763872601,4000
1472064886.575145,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499990,,1,683389478,4000
1472064886.575194,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499991,,1,488927109,4000
1472064886.575249,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499992,,1,3716066266,4000
1472064886.575336,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499993,,1,3698716063,4000
1472064886.575403,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499994,,1,1796204436,4000
1472064886.575888,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499987,1000,,,
1472064886.576130,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499988,1000,,,
1472064886.576370,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499989,1000,,,
1472064886.576495,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499990,1000,,,
1472064886.576730,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499991,1000,,,
1472064886.576856,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499992,1000,,,
1472064886.577087,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499993,1000,,,
1472064886.577418,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265499994,1000,,,
1472064886.580551,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265499995,,1,773426340,4000
1472064886.580575,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686134419,,1,3777830333,4000
1472064886.580617,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686134420,,1,3276116718,4000
1472064886.580669,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686134421,,1,4127465545,4000
1472064886.580718,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686134422,,1,2006862497,4000
